vehicle_class,engine_size,cylinders,fuel_type,fuel_cons_city,fuel_cons_hwy,fuel_cons_comb,fuel_cons_comb_mpg,co2
MINIVAN,3.3,6,Regular gasoline,13.2,9.7,11.6,24.0,275.0
MID-SIZE,6.4,8,Premium gasoline,16.8,10.4,13.9,20.0,326.0
MID-SIZE,3.0,6,Premium gasoline,12.8,8.6,10.9,26.0,251.0
SUV - SMALL,3.6,6,Ethanol (E85),19.8,13.6,17.0,17.0,272.0
COMPACT,3.6,6,Regular gasoline,13.2,8.7,11.2,25.0,258.0
MID-SIZE,2.5,4,Regular gasoline,8.1,5.7,6.9,41.0,164.0
MINICOMPACT,3.0,6,Premium gasoline,10.8,8.3,9.7,29.0,226.0
SUV - SMALL,2.0,4,Regular gasoline,9.4,7.4,8.5,33.0,199.0
SUV - SMALL,2.4,4,Ethanol (E85),14.2,9.9,12.2,23.0,195.0
MID-SIZE,1.8,4,Regular gasoline,4.4,4.6,4.5,63.0,104.0
SUBCOMPACT,3.5,6,Premium gasoline,13.1,9.8,11.2,25.0,262.0
PICKUP TRUCK - STANDARD,5.3,8,Regular gasoline,14.9,10.8,13.1,22.0,306.0
SUV - SMALL,2.4,4,Regular gasoline,11.2,8.2,9.8,29.0,230.0
COMPACT,1.5,4,Regular gasoline,7.8,6.3,7.1,40.0,163.0
SUV - SMALL,2.4,4,Regular gasoline,11.0,7.9,9.6,29.0,224.0
TWO-SEATER,5.5,8,Premium gasoline,12.3,8.7,10.7,26.0,246.0
FULL-SIZE,2.5,4,Regular gasoline,10.6,7.5,9.2,31.0,212.0
SUV - SMALL,2.5,4,Regular gasoline,10.9,7.5,9.4,30.0,216.0
SUV - STANDARD,5.0,8,Premium gasoline,17.2,12.5,15.1,19.0,347.0
MID-SIZE,3.6,6,Regular gasoline,12.5,8.1,10.5,27.0,242.0
SUV - STANDARD,3.0,6,Premium gasoline,15.2,11.0,13.3,21.0,306.0
SUV - SMALL,2.5,4,Ethanol (E85),15.2,10.8,13.3,21.0,219.0
TWO-SEATER,4.931680494382062,3,Premium gasoline,5.844118605687537,19.68821309793188,24.710033371919934,47.986087436396076,240.10475056884388
SUBCOMPACT,2.0,4,Regular gasoline,9.0,7.2,8.2,34.0,191.0
SUV - SMALL,2.0,4,Premium gasoline,11.2,8.2,9.8,29.0,231.0
PICKUP TRUCK - SMALL,2.5,4,Regular gasoline,12.7,9.5,11.3,25.0,260.0
SUV - SMALL,3.0,6,Premium gasoline,11.9,8.5,10.4,27.0,242.0
MINICOMPACT,3.4,6,Premium gasoline,11.6,8.4,10.1,28.0,232.0
FULL-SIZE,5.7,8,Regular gasoline,14.8,9.3,12.3,23.0,289.0
COMPACT,2.0,4,Premium gasoline,9.5,6.9,8.3,34.0,194.0
MID-SIZE,2.0,4,Regular gasoline,5.3,5.7,5.5,51.0,126.0
COMPACT,1.5,4,Regular gasoline,7.7,5.7,6.8,42.0,159.0
PICKUP TRUCK - SMALL,3.5,6,Regular gasoline,12.6,10.0,11.4,25.0,268.0
SUBCOMPACT,3.0,6,Premium gasoline,12.2,8.2,10.4,27.0,242.0
TWO-SEATER,6.2,8,Premium gasoline,15.5,9.2,12.7,22.0,297.0
SUBCOMPACT,5.0,8,Premium gasoline,15.1,9.5,12.6,22.0,294.0
SUV - STANDARD,5.6,8,Premium gasoline,17.4,12.2,15.1,19.0,355.0
MINICOMPACT,3.8,6,Premium gasoline,12.6,9.0,11.0,26.0,253.0
FULL-SIZE,4.4,8,Premium gasoline,15.0,9.8,12.7,22.0,292.0
SUV - SMALL,2.4,4,Regular gasoline,11.6,8.7,10.3,27.0,237.0
SUV - STANDARD,4.8,8,Premium gasoline,16.7,11.2,14.3,20.0,334.0
PICKUP TRUCK - STANDARD,5.0,8,Regular gasoline,16.8,12.6,14.9,19.0,343.0
MID-SIZE,6.2,8,Premium gasoline,18.1,11.4,15.1,19.0,352.0
STATION WAGON - SMALL,1.6,4,Regular gasoline,9.0,7.6,8.4,34.0,198.0
SUV - STANDARD,3.6495689346899858,7,Diesel,29.612478108627627,4.309740033801517,8.114049222768644,50.268611009443035,248.50082239475816
MID-SIZE,3.3,6,Premium gasoline,13.6,9.6,11.8,24.0,279.0
MINICOMPACT,1.4,4,Regular gasoline,9.6,7.3,8.6,33.0,200.0
STATION WAGON - SMALL,1.6,4,Regular gasoline,9.4,7.8,8.7,32.0,205.0
SUV - SMALL,3.3,6,Regular gasoline,13.4,9.7,11.7,24.0,276.0
PICKUP TRUCK - STANDARD,5.0,8,Ethanol (E85),20.0,15.6,18.0,16.0,300.0
PICKUP TRUCK - STANDARD,5.3,8,Ethanol (E85),19.7,13.9,17.1,17.0,284.0
COMPACT,2.0,4,Premium gasoline,9.9,7.6,8.9,32.0,205.0
FULL-SIZE,2.4,4,Regular gasoline,10.0,7.0,8.7,32.0,200.0
COMPACT,2.0,4,Regular gasoline,10.6,8.0,9.4,30.0,216.0
TWO-SEATER,4.0,6,Premium gasoline,16.3,11.8,14.3,20.0,334.0
MINICOMPACT,3.0,6,Premium gasoline,13.2,9.2,11.4,25.0,266.0
MID-SIZE,4.0,8,Premium gasoline,15.7,9.4,12.8,22.0,300.0
COMPACT,1.8,4,Regular gasoline,9.6,7.2,8.5,33.0,196.0
STATION WAGON - MID-SIZE,2.0,4,Premium gasoline,10.1,7.0,8.7,32.0,204.0
MID-SIZE,3.6,6,Regular gasoline,12.4,8.7,10.7,26.0,251.0
MID-SIZE,3.7,6,Premium gasoline,13.2,9.6,11.6,24.0,267.0
SUV - SMALL,2.5,4,Regular gasoline,11.1,8.4,9.9,29.0,232.0
SUV - SMALL,2.0,4,Premium gasoline,10.2,8.5,9.4,30.0,222.0
SUV - SMALL,2.0,4,Premium gasoline,10.8,9.0,10.0,28.0,234.0
SUV - SMALL,2.0,4,Regular gasoline,11.0,8.3,9.8,29.0,225.0
FULL-SIZE,3.6,6,Premium gasoline,15.0,10.1,12.8,22.0,302.0
PICKUP TRUCK - STANDARD,3.5,6,Regular gasoline,13.8,10.7,12.4,23.0,291.0
STATION WAGON - SMALL,1.6,4,Regular gasoline,9.8,7.8,8.9,32.0,206.0
STATION WAGON - SMALL,1.6,4,Premium gasoline,9.0,7.8,8.4,34.0,199.0
MID-SIZE,2.0,4,Premium gasoline,10.6,7.2,9.1,31.0,209.0
STATION WAGON - SMALL,1.6,4,Regular gasoline,4.5,4.8,4.7,60.0,110.0
PICKUP TRUCK - SMALL,2.5,4,Regular gasoline,11.9,8.8,10.5,27.0,242.0
PICKUP TRUCK - SMALL,4.0,6,Regular gasoline,15.1,11.5,13.5,21.0,317.0
SUBCOMPACT,2.0,4,Regular gasoline,10.3,7.7,9.1,31.0,213.0
TWO-SEATER,3.7,6,Premium gasoline,13.3,9.3,11.5,25.0,270.0
SUBCOMPACT,3.6,6,Regular gasoline,14.3,8.8,11.8,24.0,277.0
MID-SIZE,1.8,4,Regular gasoline,7.8,5.9,6.9,41.0,159.0
SUV - STANDARD,3.6,6,Regular gasoline,12.8,9.5,11.3,25.0,265.0
MID-SIZE,1.8,4,Regular gasoline,9.6,6.6,8.3,34.0,191.0
MINICOMPACT,2.0,4,Premium gasoline,9.7,7.0,8.5,33.0,198.0
SUV - STANDARD,2.0,4,Premium gasoline,11.5,8.8,10.3,27.0,240.0
MID-SIZE,1.5,4,Regular gasoline,4.6,5.3,4.9,58.0,115.0
PICKUP TRUCK - STANDARD,3.6,6,Ethanol (E85),20.5,14.5,17.8,16.0,296.0
SPECIAL PURPOSE VEHICLE,2.5,4,Ethanol (E85),16.8,12.1,14.7,19.0,241.0
MINICOMPACT,3.4,6,Premium gasoline,11.7,8.5,10.2,28.0,240.0
SUV - SMALL,2.0,4,Regular gasoline,10.2,7.7,9.1,31.0,209.0
TWO-SEATER,1.4,4,Regular gasoline,9.3,6.5,8.0,35.0,187.0
SUBCOMPACT,3.0,6,Premium gasoline,11.8,8.9,10.5,27.0,245.0
PICKUP TRUCK - SMALL,3.6,6,Regular gasoline,13.0,9.2,11.3,25.0,260.0
COMPACT,1.6,4,Regular gasoline,8.8,6.5,7.8,36.0,181.0
SUV - SMALL,3.6,6,Regular gasoline,14.8,11.7,13.4,21.0,308.0
COMPACT,3.0,6,Premium gasoline,12.2,8.2,10.4,27.0,242.0
SUBCOMPACT,1.5,3,Premium gasoline,8.4,6.3,7.5,38.0,175.0
COMPACT,2.0,4,Regular gasoline,10.4,7.0,8.9,32.0,205.0
FULL-SIZE,4.0,8,Premium gasoline,13.1,8.3,10.9,26.0,255.0
COMPACT,2.0,4,Premium gasoline,11.6,8.3,10.1,28.0,236.0
SUBCOMPACT,3.0,6,Premium gasoline,11.8,8.8,10.5,27.0,245.0
PICKUP TRUCK - STANDARD,5.7,8,Regular gasoline,16.2,11.5,14.1,20.0,330.0
MID-SIZE,2.9,6,Premium gasoline,13.5,9.0,11.5,25.0,268.0
COMPACT,2.0,4,Premium gasoline,9.5,7.2,8.5,33.0,196.0
PICKUP TRUCK - STANDARD,5.0,8,Ethanol (E85),21.4,17.2,19.5,14.0,325.0
MID-SIZE,5.7,8,Premium gasoline,15.6,10.1,13.1,22.0,307.0
MINICOMPACT,2.0,4,Premium gasoline,11.3,8.3,9.9,29.0,232.0
PICKUP TRUCK - STANDARD,3.5,6,Regular gasoline,13.7,9.9,12.0,24.0,276.0
SUV - SMALL,3.5,6,Regular gasoline,12.4,9.2,11.0,26.0,258.0
MID-SIZE,2.5,4,Regular gasoline,9.0,6.8,8.0,35.0,187.0
PICKUP TRUCK - STANDARD,3.6,6,Regular gasoline,13.9,9.6,11.9,24.0,280.0
SUV - SMALL,2.0,4,Regular gasoline,7.9,6.9,7.5,38.0,173.0
SUV - STANDARD,3.5,6,Regular gasoline,13.0,9.8,11.6,24.0,272.0
COMPACT,2.0,4,Premium gasoline,10.6,7.7,9.3,30.0,217.0
SUV - SMALL,1.4,4,Regular gasoline,9.9,7.8,8.9,32.0,210.0
SUV - SMALL,1.0,3,Regular gasoline,8.6,8.1,8.4,34.0,197.0
PICKUP TRUCK - SMALL,3.5,6,Regular gasoline,13.2,10.7,12.1,23.0,283.0
SUBCOMPACT,2.0,4,Premium gasoline,11.0,7.8,9.6,29.0,224.0
FULL-SIZE,3.0,6,Premium gasoline,12.8,8.9,11.0,26.0,253.0
MID-SIZE,3.5,6,Regular gasoline,10.7,7.2,9.1,31.0,213.0
MID-SIZE,1.8,4,Regular gasoline,8.3,6.5,7.5,38.0,174.0
MINIVAN,3.5,6,Regular gasoline,14.2,10.3,12.4,23.0,285.0
COMPACT,2.0,4,Premium gasoline,11.4,7.4,9.6,29.0,221.0
TWO-SEATER,4.0,8,Premium gasoline,13.1,9.6,11.5,25.0,270.0
COMPACT,2.4,4,Premium gasoline,9.6,6.6,8.3,34.0,197.0
FULL-SIZE,5.0,8,Ethanol (E85),20.6,13.6,17.5,16.0,280.0
SUV - SMALL,2.0,4,Premium gasoline,11.2,8.5,10.0,28.0,230.0
MINICOMPACT,3.0,6,Premium gasoline,11.0,8.4,9.8,29.0,230.0
SUV - SMALL,2.0,4,Premium gasoline,11.8,9.1,10.6,27.0,247.0
MID-SIZE,3.0,6,Premium gasoline,11.8,9.1,10.6,27.0,247.0
SUBCOMPACT,3.0,6,Premium gasoline,13.8,9.4,11.9,24.0,280.0
SUBCOMPACT,3.5,6,Premium gasoline,9.0,7.1,8.1,35.0,189.0
COMPACT,1.5,4,Regular gasoline,7.8,6.4,7.2,39.0,167.0
COMPACT,2.5,4,Regular gasoline,8.5,6.4,7.6,37.0,176.0
MINIVAN,3.6,6,Ethanol (E85),19.2,13.1,16.4,17.0,269.0
MID-SIZE,6.2,8,Premium gasoline,18.6,11.2,15.3,18.0,358.0
MID-SIZE,2.0,4,Premium gasoline,11.0,8.0,9.6,29.0,227.0
PICKUP TRUCK - STANDARD,3.5,6,Regular gasoline,13.6,10.1,12.0,24.0,282.0
STATION WAGON - MID-SIZE,2.0,4,Premium gasoline,10.6,7.6,9.3,30.0,216.0
SUV - SMALL,3.5,6,Premium gasoline,12.5,9.1,10.9,26.0,257.0
SUV - SMALL,3.5,6,Regular gasoline,12.5,9.3,11.1,25.0,260.0
SUV - SMALL,2.4,4,Regular gasoline,11.0,7.8,9.6,29.0,225.0
FULL-SIZE,4.0,8,Premium gasoline,12.8,9.2,11.2,25.0,261.0
SUV - STANDARD,5.5,8,Premium gasoline,19.0,16.5,17.9,16.0,401.0
SUV - STANDARD,3.5,6,Premium gasoline,7.7,8.2,8.0,35.0,186.0
COMPACT,1.8,4,Regular gasoline,8.0,6.0,7.1,40.0,165.0
PICKUP TRUCK - STANDARD,5.7,8,Regular gasoline,17.3,13.0,15.4,18.0,360.0
MID-SIZE,2.0,4,Premium gasoline,9.8,6.8,8.4,34.0,196.0
MID-SIZE,2.4,4,Regular gasoline,8.6,6.4,7.6,37.0,177.0
SUV - SMALL,3.3,6,Regular gasoline,13.0,9.7,11.5,25.0,264.0
FULL-SIZE,6.0,12,Premium gasoline,18.2,11.0,15.0,19.0,359.0
COMPACT,3.0,6,Premium gasoline,11.1,9.6,10.4,27.0,231.0
MID-SIZE,3.5,6,Premium gasoline,11.6,7.9,9.9,29.0,233.0
COMPACT,2.0,4,Regular gasoline,9.5,7.0,8.4,34.0,197.0
FULL-SIZE,3.6,6,Premium gasoline,14.8,9.8,12.6,22.0,290.0
SUV - SMALL,2.0,4,Regular gasoline,10.2,7.5,9.0,31.0,210.0
SUV - STANDARD,3.0,6,Premium gasoline,13.6,10.2,12.0,24.0,281.0
SUV - STANDARD,4.7,8,Premium gasoline,15.3,11.3,13.5,21.0,318.0
MID-SIZE,2.4,4,Regular gasoline,10.6,7.5,9.2,31.0,215.0
VAN - PASSENGER,3.5,6,Regular gasoline,16.6,12.5,14.7,19.0,338.0
COMPACT,2.4,4,Regular gasoline,11.7,8.2,10.1,28.0,232.0
SUV - STANDARD,3.6,6,Regular gasoline,12.6,8.8,10.9,26.0,257.0
MINICOMPACT,3.0,6,Premium gasoline,11.8,8.1,10.1,28.0,237.0
FULL-SIZE,3.5,6,Ethanol (E85),17.6,11.6,14.9,19.0,248.0
SUV - STANDARD,5.5,8,Premium gasoline,18.2,14.0,16.3,17.0,369.0
PICKUP TRUCK - STANDARD,5.0,8,Ethanol (E85),20.2,14.0,17.4,16.0,288.0
SUV - SMALL,2.5,4,Regular gasoline,11.1,8.6,10.0,28.0,234.0
SUV - STANDARD,3.0,6,Diesel,13.6,10.0,12.0,24.0,322.0
COMPACT,2.0,4,Premium gasoline,11.4,8.6,10.2,28.0,238.0
SUV - STANDARD,3.0,6,Premium gasoline,11.7,9.1,10.5,27.0,245.0
COMPACT,2.0,4,Premium gasoline,10.7,7.7,9.3,30.0,214.0
COMPACT,3.6,6,Premium gasoline,14.2,10.2,12.4,23.0,289.0
MID-SIZE,2.5,4,Regular gasoline,8.4,6.1,7.4,38.0,173.0
TWO-SEATER,1.0,3,Premium gasoline,6.8,6.2,6.5,43.0,150.0
COMPACT,3.6,6,Regular gasoline,13.1,9.0,11.3,25.0,260.0
SUV - SMALL,2.0,4,Premium gasoline,12.0,8.5,10.4,27.0,239.0
SUBCOMPACT,1.6,4,Premium gasoline,9.3,7.0,8.3,34.0,191.0
STATION WAGON - SMALL,2.0,4,Regular gasoline,9.1,7.6,8.4,34.0,198.0
MID-SIZE,1.8,4,Regular gasoline,10.5,6.7,8.8,32.0,202.0
MINICOMPACT,3.4,6,Premium gasoline,12.0,8.7,10.5,27.0,242.0
MINICOMPACT,2.0,4,Premium gasoline,11.2,8.1,9.8,29.0,229.0
COMPACT,2.0,4,Premium gasoline,10.5,7.4,9.1,31.0,213.0
COMPACT,3.0,6,Premium gasoline,10.9,7.3,9.3,30.0,216.0
FULL-SIZE,3.0,6,Diesel,10.2,7.1,8.8,32.0,238.0
PICKUP TRUCK - SMALL,2.7,4,Regular gasoline,12.8,10.6,11.8,24.0,271.0
FULL-SIZE,3.0,6,Premium gasoline,15.2,,12.9,22.0,300.0
STATION WAGON - SMALL,2.4,4,Regular gasoline,10.9,8.6,9.9,29.0,228.0
SUV - SMALL,2.0,4,Regular gasoline,10.6,8.0,9.5,30.0,222.0
SUV - SMALL,2.0,4,Regular gasoline,9.2,7.8,8.6,33.0,202.0
SUBCOMPACT,2.3,4,Regular gasoline,11.2,7.8,9.8,29.0,230.0
SUV - STANDARD,3.5,6,Regular gasoline,14.8,10.7,13.0,22.0,305.0
SUV - SMALL,3.5,6,Regular gasoline,12.7,9.1,11.1,25.0,255.0
TWO-SEATER,5.2,10,Premium gasoline,16.4,11.4,14.2,20.0,331.0
MID-SIZE,1.4,4,Regular gasoline,8.4,5.9,7.3,39.0,168.0
COMPACT,6.2,8,Premium gasoline,14.3,9.4,12.1,23.0,284.0
TWO-SEATER,2.0,4,Premium gasoline,9.1,6.8,8.0,35.0,188.0
SUBCOMPACT,4.0,8,Premium gasoline,13.9,9.7,12.0,24.0,282.0
SUV - SMALL,3.7,6,Regular gasoline,14.4,10.3,12.5,23.0,293.0
MID-SIZE,3.0,6,Premium gasoline,10.6,7.9,9.4,30.0,216.0
PICKUP TRUCK - STANDARD,5.0,8,Ethanol (E85),20.5,14.3,17.7,16.0,291.0
SUBCOMPACT,2.0,4,Premium gasoline,9.6,7.1,8.5,33.0,199.0
MID-SIZE,1.8,4,Regular gasoline,4.7,4.9,4.8,59.0,110.0
COMPACT,1.6,4,Regular gasoline,9.7,7.1,8.5,33.0,196.0
SUV - SMALL,2.0,4,Premium gasoline,11.5,9.3,10.5,27.0,242.0
MID-SIZE,1.8,4,Regular gasoline,9.5,6.5,8.2,34.0,189.0
MINICOMPACT,3.0,6,Premium gasoline,10.9,8.4,9.8,29.0,228.0
TWO-SEATER,8.4,10,Premium gasoline,20.0,13.0,16.9,17.0,389.0
MID-SIZE,1.5,4,Regular gasoline,8.8,6.5,7.8,36.0,181.0
COMPACT,2.0,4,Regular gasoline,8.9,6.1,7.7,37.0,179.0
SUBCOMPACT,4.4,8,Premium gasoline,17.3,11.5,14.7,19.0,344.0
MID-SIZE,2.5,4,Regular gasoline,8.4,6.0,7.3,39.0,172.0
COMPACT,3.5,6,Premium gasoline,12.3,8.5,10.6,27.0,244.0
MID-SIZE,3.6,6,Ethanol (E85),17.1,11.1,14.4,20.0,237.0
PICKUP TRUCK - STANDARD,3.5,6,Regular gasoline,13.5,9.8,11.9,24.0,278.0
MID-SIZE,3.0,6,Premium gasoline,12.1,8.1,10.3,27.0,237.0
MID-SIZE,3.0,6,Diesel,9.2,6.4,7.9,36.0,213.0
COMPACT,1.4,4,Regular gasoline,8.1,6.2,7.3,39.0,172.0
COMPACT,1.5,4,Regular gasoline,7.3,5.8,6.6,43.0,155.0
COMPACT,1.6,4,Regular gasoline,8.8,6.6,7.8,36.0,184.0
SUBCOMPACT,2.0,4,Premium gasoline,11.3,7.1,9.4,30.0,221.0
MID-SIZE,1.8,4,Regular gasoline,8.5,6.3,7.5,38.0,172.0
FULL-SIZE,3.6,6,Regular gasoline,12.8,8.6,10.9,26.0,251.0
MID-SIZE,1.8,4,Regular gasoline,9.9,6.9,8.6,33.0,198.0
SUV - STANDARD,6.2,8,Premium gasoline,20.9,13.8,17.7,16.0,413.0
SUV - STANDARD,3.5,6,Ethanol (E85),19.7,14.3,17.3,16.0,288.0
SUBCOMPACT,6.0,12,Premium gasoline,16.8,10.9,14.2,20.0,332.0
MID-SIZE,2.0,4,Premium gasoline,10.7,8.6,9.7,29.0,228.0
PICKUP TRUCK - SMALL,4.0,6,Regular gasoline,15.0,11.2,13.3,21.0,306.0
COMPACT,2.0,4,Premium gasoline,9.9,7.4,8.8,32.0,202.0
SUV - SMALL,2.5,4,Regular gasoline,10.0,7.6,8.9,32.0,205.0
COMPACT,1.5,4,Regular gasoline,7.7,6.3,7.1,40.0,163.0
SUV - SMALL,3.0,6,Premium gasoline,9.1,9.0,9.0,31.0,210.0
FULL-SIZE,3.6,6,Regular gasoline,13.0,8.8,11.1,25.0,261.0
STATION WAGON - SMALL,2.0,4,Regular gasoline,9.0,7.5,8.4,34.0,196.0
SUV - SMALL,3.0,6,Premium gasoline,12.0,8.8,10.6,27.0,248.0
MID-SIZE,2.5,4,Regular gasoline,8.7,6.5,7.7,37.0,177.0
COMPACT,5.5,8,Premium gasoline,15.1,10.7,13.1,22.0,301.0
FULL-SIZE,5.7,8,Regular gasoline,14.8,9.3,12.3,23.0,283.0
SUV - STANDARD,3.6,6,Regular gasoline,13.6,9.6,11.8,24.0,276.0
TWO-SEATER,4.7,8,Premium gasoline,13.4,9.6,11.7,24.0,269.0
PICKUP TRUCK - STANDARD,3.5,6,Regular gasoline,14.6,10.6,12.8,22.0,294.0
SUV - SMALL,3.2,6,Regular gasoline,11.6,8.6,10.3,27.0,241.0
PICKUP TRUCK - STANDARD,6.2,8,Premium gasoline,16.3,11.6,14.2,20.0,327.0
MID-SIZE,2.0,4,Ethanol (E85),13.3,9.3,11.5,25.0,184.0
STATION WAGON - MID-SIZE,2.0517098643804106,17,Regular gasoline,8.152006583741757,15.851441928705867,12.381648311212897,66.20379932420407,153.85896409448512
MID-SIZE,2.5,4,Regular gasoline,8.8,6.0,7.5,38.0,176.0
SUV - SMALL,5.0,8,Premium gasoline,14.5,11.0,12.9,22.0,303.0
MID-SIZE,1.8,4,Regular gasoline,8.1,6.3,7.3,39.0,168.0
SUV - SMALL,1.5,4,Regular gasoline,11.2,8.4,9.9,29.0,232.0
SUBCOMPACT,5.9,12,Premium gasoline,18.0,12.6,15.6,18.0,359.0
FULL-SIZE,2.4,4,Regular gasoline,9.4,6.5,8.1,35.0,193.0
SUBCOMPACT,2.0,4,Premium gasoline,10.9,7.5,9.4,30.0,219.0
SUV - STANDARD,3.5,6,Regular gasoline,16.4,12.1,14.4,20.0,338.0
SUV - SMALL,1.4,4,Regular gasoline,9.4,6.9,8.3,34.0,194.0
COMPACT,2.0,4,Ethanol (E85),11.9,8.5,10.4,27.0,166.0
PICKUP TRUCK - STANDARD,5.0,8,Regular gasoline,16.8,11.8,14.5,19.0,340.0
MID-SIZE,2.0,4,Premium gasoline,11.3,7.5,9.6,29.0,223.0
COMPACT,2.0,4,Premium gasoline,10.0,6.5,8.4,34.0,193.0
SUV - STANDARD,4.0,8,Premium gasoline,19.2,14.1,16.9,17.0,384.0
STATION WAGON - MID-SIZE,2.0,4,Premium gasoline,11.1,7.3,9.4,30.0,219.0
COMPACT,2.4,4,Regular gasoline,11.3,7.4,9.6,29.0,224.0
COMPACT,1.4,4,Regular gasoline,7.8,5.9,7.0,40.0,162.0
VAN - PASSENGER,3.7,6,Ethanol (E85),22.1,16.7,19.7,14.0,315.0
PICKUP TRUCK - STANDARD,3.3,6,Ethanol (E85),17.5,13.8,15.8,18.0,263.0
TWO-SEATER,2.0,4,Premium gasoline,9.5,7.4,8.5,33.0,200.0
MINIVAN,3.4908821061614175,8,Regular gasoline,10.263765985820179,9.142697039755234,13.526844267718511,25.220930432388325,268.42649314244653
SUV - STANDARD,3.5,6,Regular gasoline,14.9,11.3,13.3,21.0,310.0
MID-SIZE,1.6,4,Regular gasoline,7.5,6.0,6.8,42.0,161.0
COMPACT,4.4,8,Premium gasoline,15.0,9.8,12.7,22.0,292.0
SUV - SMALL,2.0,4,Regular gasoline,9.4,7.7,8.6,33.0,202.0
PICKUP TRUCK - STANDARD,5.0,8,Regular gasoline,15.7,11.8,13.9,20.0,326.0
STATION WAGON - SMALL,2.0,4,Regular gasoline,9.0,7.7,8.4,34.0,198.0
PICKUP TRUCK - STANDARD,5.3,8,Regular gasoline,14.9,10.9,13.1,22.0,307.0
MID-SIZE,3.5,6,Premium gasoline,8.0,7.5,7.7,37.0,177.0
MID-SIZE,2.0,4,Premium gasoline,10.6,7.6,9.2,31.0,217.0
MINIVAN,3.5,6,Regular gasoline,12.6,9.1,11.0,26.0,259.0
MID-SIZE,6.6,12,Premium gasoline,19.0,12.5,16.1,18.0,375.0
